                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                0.62748,                0.33549,                0.92461,                  0.909,                0.92043,                0.96699,                0.77361,                0.77236,                0.35546,                 1.0181,              0.0069112,              0.0069112,              0.0069112
                    159,                0.63167,                0.32917,                0.92491,                0.91033,                 0.9198,                0.96737,                0.77702,                  0.763,                0.35357,                 1.0125,              0.0068914,              0.0068914,              0.0068914
                    160,                0.63523,                0.33112,                  0.917,                0.90725,                0.92743,                0.97024,                0.77696,                0.77124,                 0.3482,                 1.0169,              0.0068716,              0.0068716,              0.0068716
                    161,                0.62821,                 0.3286,                0.92579,                0.89954,                0.93478,                0.97024,                0.77338,                0.77338,                0.35099,                 1.0181,              0.0068518,              0.0068518,              0.0068518
                    162,                0.62751,                 0.3291,                0.91769,                0.92348,                0.90452,                 0.9699,                0.77621,                 0.7667,                0.35036,                 1.0134,               0.006832,               0.006832,               0.006832
                    163,                0.62228,                0.32789,                0.92283,                0.90717,                0.92059,                0.96928,                0.77516,                0.77101,                0.35198,                  1.017,              0.0068122,              0.0068122,              0.0068122
                    164,                 0.6314,                0.32583,                0.92095,                0.89507,                0.93953,                0.97021,                0.77939,                0.76676,                0.34919,                 1.0152,              0.0067924,              0.0067924,              0.0067924
                    165,                0.62397,                0.32832,                0.92301,                0.90975,                0.92402,                 0.9704,                0.77651,                 0.7626,                0.35391,                 1.0135,              0.0067726,              0.0067726,              0.0067726
                    166,                 0.6176,                0.32352,                0.91534,                0.91566,                 0.9198,                0.96763,                0.77499,                 0.7631,                0.35418,                 1.0155,              0.0067528,              0.0067528,              0.0067528
                    167,                0.61721,                0.32413,                0.92467,                0.91475,                0.92107,                0.96902,                0.77529,                0.76772,                0.35203,                 1.0151,               0.006733,               0.006733,               0.006733
                    168,                0.61201,                 0.3268,                0.92111,                0.90045,                0.93125,                0.96877,                0.77507,                0.77209,                0.35112,                 1.0195,              0.0067132,              0.0067132,              0.0067132
                    169,                0.61652,                 0.3255,                0.91644,                0.90272,                0.93189,                0.96821,                0.77655,                0.76758,                0.34734,                 1.0188,              0.0066934,              0.0066934,              0.0066934
                    170,                0.61302,                0.31928,                 0.9211,                0.90471,                0.93672,                0.96869,                0.77514,                0.77281,                  0.348,                 1.0204,              0.0066736,              0.0066736,              0.0066736
