                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84318,                0.47796,                 1.0161,                0.90676,                0.91612,                0.96426,                0.74738,                 0.8095,                0.44445,                 1.0501,              0.0093466,              0.0093466,              0.0093466
                     36,                0.83591,                0.47141,                  1.016,                0.90314,                0.93889,                0.96474,                0.75323,                0.79355,                0.42316,                 1.0352,              0.0093268,              0.0093268,              0.0093268
                     37,                0.83746,                0.47247,                 1.0218,                0.89121,                0.93571,                0.96519,                0.75718,                0.78787,                0.41992,                  1.034,               0.009307,               0.009307,               0.009307
                     38,                0.82852,                0.47282,                 1.0145,                0.89958,                0.91852,                0.95919,                0.74255,                0.80982,                0.44473,                  1.046,              0.0092872,              0.0092872,              0.0092872
                     39,                0.81841,                0.46215,                 1.0091,                0.90267,                0.92685,                0.96665,                0.75862,                0.78634,                0.41784,                 1.0272,              0.0092674,              0.0092674,              0.0092674
                     40,                0.81967,                 0.4686,                 1.0074,                 0.9167,                0.90707,                 0.9637,                0.74609,                0.81201,                0.42524,                 1.0396,              0.0092476,              0.0092476,              0.0092476
                     41,                0.82014,                0.45426,                  1.009,                0.90835,                0.93369,                0.96793,                0.75724,                 0.7967,                0.41774,                 1.0369,              0.0092278,              0.0092278,              0.0092278
                     42,                0.81942,                0.45917,                 1.0103,                0.91453,                 0.9268,                0.96825,                0.75369,                0.79496,                0.41443,                 1.0368,               0.009208,               0.009208,               0.009208
                     43,                0.79942,                0.44689,                0.99919,                0.90554,                0.92751,                0.96379,                0.75426,                0.79345,                0.41425,                 1.0298,              0.0091882,              0.0091882,              0.0091882
                     44,                 0.8114,                0.45191,                 1.0039,                0.88385,                0.94144,                 0.9636,                0.75208,                0.78902,                0.41256,                  1.026,              0.0091684,              0.0091684,              0.0091684
                     45,                0.80257,                0.44904,                 1.0053,                0.91983,                0.92871,                0.97045,                0.76354,                0.78664,                0.40121,                 1.0234,              0.0091486,              0.0091486,              0.0091486
                     46,                0.81103,                 0.4592,                 1.0045,                0.91354,                0.92145,                0.96566,                0.75242,                0.79047,                0.40855,                 1.0223,              0.0091288,              0.0091288,              0.0091288
                     47,                0.80659,                0.44404,                 1.0045,                0.90654,                0.92425,                0.96763,                0.75688,                0.79777,                0.41415,                 1.0292,               0.009109,               0.009109,               0.009109
